"relative_path","full_path","Name","Extension","Length","size_mb","LastWriteTime"
"01_fooocus\entry_with_update_full\models\vae_approx\vaeapp_sd15.pth","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\entry_with_update_full\models\vae_approx\vaeapp_sd15.pth","vaeapp_sd15.pth",".pth","213777","0.204","29/03/45 04:47:56 ص"
"01_fooocus\entry_with_update_full\models\vae_approx\xl-to-v1_interposer-v3.1.safetensors","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\entry_with_update_full\models\vae_approx\xl-to-v1_interposer-v3.1.safetensors","xl-to-v1_interposer-v3.1.safetensors",".safetensors","6552480","6.249","29/03/45 04:47:58 ص"
"01_fooocus\entry_with_update_full\models\vae_approx\xl-to-v1_interposer-v4.0.safetensors","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\entry_with_update_full\models\vae_approx\xl-to-v1_interposer-v4.0.safetensors","xl-to-v1_interposer-v4.0.safetensors",".safetensors","5667280","5.405","28/10/47 02:22:00 م"
"01_fooocus\entry_with_update_full\models\vae_approx\xlvaeapp.pth","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\entry_with_update_full\models\vae_approx\xlvaeapp.pth","xlvaeapp.pth",".pth","213777","0.204","23/03/45 11:51:34 ص"
"02_stable_diffusion_webui\stable-diffusion-webui-master\stable-diffusion-webui-master\models\Stable-diffusion\juggernautXL_v8Rundiffusion.safetensors","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\02_stable_diffusion_webui\stable-diffusion-webui-master\stable-diffusion-webui-master\models\Stable-diffusion\juggernautXL_v8Rundiffusion.safetensors","juggernautXL_v8Rundiffusion.safetensors",".safetensors","7105348592","6776.188","28/10/47 04:56:20 م"
"02_stable_diffusion_webui\stable-diffusion-webui-master\stable-diffusion-webui-master\models\VAE-approx\model.pt","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\02_stable_diffusion_webui\stable-diffusion-webui-master\stable-diffusion-webui-master\models\VAE-approx\model.pt","model.pt",".pt","213777","0.204","21/01/46 05:49:38 ص"
"02_stable_diffusion_webui\stable-diffusion-webui-master\stable-diffusion-webui-master\models\VAE-approx\vaeapprox-sdxl.pt","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\02_stable_diffusion_webui\stable-diffusion-webui-master\stable-diffusion-webui-master\models\VAE-approx\vaeapprox-sdxl.pt","vaeapprox-sdxl.pt",".pt","213777","0.204","26/12/47 05:47:16 م"
"02_stable_diffusion_webui\stable-diffusion-webui-master\stable-diffusion-webui-master\test\test_files\empty.pt","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\02_stable_diffusion_webui\stable-diffusion-webui-master\stable-diffusion-webui-master\test\test_files\empty.pt","empty.pt",".pt","431","0","21/01/46 05:49:38 ص"
".venv_fooocus\Lib\site-packages\distutils-precedence.pth","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\distutils-precedence.pth","distutils-precedence.pth",".pth","151","0","26/12/47 09:31:08 ص"
".venv_fooocus\Lib\site-packages\onnxruntime\datasets\logreg_iris.onnx","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\onnxruntime\datasets\logreg_iris.onnx","logreg_iris.onnx",".onnx","670","0.001","26/12/47 09:37:16 ص"
".venv_fooocus\Lib\site-packages\onnxruntime\datasets\mul_1.onnx","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\onnxruntime\datasets\mul_1.onnx","mul_1.onnx",".onnx","130","0","26/12/47 09:37:16 ص"
".venv_fooocus\Lib\site-packages\onnxruntime\datasets\sigmoid.onnx","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\onnxruntime\datasets\sigmoid.onnx","sigmoid.onnx",".onnx","103","0","26/12/47 09:37:16 ص"
".venv_fooocus\Lib\site-packages\torchmetrics\functional\image\dists_models\weights.pt","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\torchmetrics\functional\image\dists_models\weights.pt","weights.pt",".pt","12288","0.012","26/12/47 09:37:44 ص"
".venv_fooocus\Lib\site-packages\torchmetrics\functional\image\lpips_models\alex.pth","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\torchmetrics\functional\image\lpips_models\alex.pth","alex.pth",".pth","6009","0.006","26/12/47 09:37:44 ص"
".venv_fooocus\Lib\site-packages\torchmetrics\functional\image\lpips_models\squeeze.pth","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\torchmetrics\functional\image\lpips_models\squeeze.pth","squeeze.pth",".pth","10811","0.01","26/12/47 09:37:44 ص"
