"source","target","status","bytes","note"
"D:\OneDrive\Desktop\مجلد جديد\models\checkpoints\safetensors\juggernautXL_v8Rundiffusion.safetensors","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\02_stable_diffusion_webui\stable-diffusion-webui-master\stable-diffusion-webui-master\models\Stable-diffusion\juggernautXL_v8Rundiffusion.safetensors","mklink_failed",,"Incorrect function."
"D:\OneDrive\Desktop\مجلد جديد\models\checkpoints\safetensors\juggernautXL_v8Rundiffusion.safetensors","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\03_shared_models_and_outputs\checkpoints\juggernautXL_v8Rundiffusion.safetensors","mklink_failed",,"Incorrect function."
"D:\OneDrive\Desktop\مجلد جديد\models\clip_vision\safetensors\clip_vision_vit_h.safetensors","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\models\clip_vision\clip_vision_vit_h.safetensors","mklink_failed",,"Incorrect function."
"D:\OneDrive\Desktop\مجلد جديد\models\controlnet\bin\ip-adapter-plus_sdxl_vit-h.bin","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\models\controlnet\ip-adapter-plus_sdxl_vit-h.bin","mklink_failed",,"Incorrect function."
"D:\OneDrive\Desktop\مجلد جديد\models\vae_approx\safetensors\xl-to-v1_interposer-v4.0.safetensors","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\01_fooocus\Fooocus-main_canonical\Fooocus-main\models\vae_approx\xl-to-v1_interposer-v4.0.safetensors","mklink_failed",,"Incorrect function."
