"Path","Status","SizeBytes","Sha256"
"D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\00_archives_original\Fooocus-main.zip","deleted","10817549","3DBF1FD06B9DEC487CDB6339DD8FB40C4778864BA91CD80EE7308952BCA5E937"
"D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\00_archives_original\Fooocus-main(1).zip","deleted","10817549","3DBF1FD06B9DEC487CDB6339DD8FB40C4778864BA91CD80EE7308952BCA5E937"
